First_Name,Last_Name,Age,Department_Region,Status,Salary,Phone,Performance_Score,Remote_Work
David,Williams,30.0,Finance-California,Inactive,105674.18,-9973080694,Good,False
Alice,Brown,30.0,Finance-California,Inactive,54859.45,-8146717956,Average,False
Frank,Davis,32.48454882571075,Finance-Nevada,Pending,115746.6,-6024375737,Excellent,True
Eva,Brown,30.0,Sales-California,Active,91759.99,-3959724664,Excellent,True
Frank,Garcia,40.0,Sales-Illinois,Active,112965.33,-7293417222,Good,False
Alice,Smith,40.0,Cloud Tech-Illinois,Pending,100360.1,-2971674337,Excellent,False
David,Williams,35.0,Finance-Texas,Pending,93620.88,-54522800,Good,False
Bob,Jones,35.0,Sales-California,Pending,72832.8,-5619318373,Excellent,True
Charlie,Williams,30.0,Finance-Nevada,Inactive,102369.42,-5508428909,Average,True
Eva,Davis,40.0,Sales-Texas,Inactive,64712.79,-7711991807,Excellent,True
Frank,Jones,40.0,Finance-Florida,Pending,85782.18,-1213524786,Excellent,True
Charlie,Smith,25.0,HR-Illinois,Pending,93348.26,-1255213759,Poor,False
David,Davis,35.0,Admin-New York,Active,53234.96,-3754821455,Good,False
Bob,Johnson,40.0,Finance-Nevada,Pending,100284.21,-5328632665,Excellent,False
Grace,Brown,30.0,Admin-Nevada,Pending,112486.19,-7850720810,Excellent,True
Bob,Smith,40.0,Admin-New York,Pending,82518.49,-5562606028,Poor,True
Bob,Brown,40.0,Admin-Florida,Pending,119152.47,-846684549,Poor,True
Heidi,Miller,32.48454882571075,DevOps-Illinois,Inactive,113479.83,-4892673898,Good,False
Charlie,Johnson,40.0,Finance-California,Active,94636.3,-7563410855,Poor,False
Heidi,Johnson,30.0,HR-Florida,Active,70000.97,-2884318847,Average,True
Frank,Smith,32.48454882571075,Cloud Tech-New York,Active,76812.47,-5200894345,Poor,False
David,Johnson,25.0,Finance-Florida,Inactive,82614.7,-8105485100,Average,True
Grace,Jones,40.0,Sales-Nevada,Active,111645.97,-7490753997,Good,True
Heidi,Johnson,25.0,HR-California,Inactive,112414.91,-9354492682,Good,False
David,Brown,40.0,Admin-California,Inactive,52031.74,-1589357125,Good,True
Grace,Brown,30.0,Finance-New York,Pending,51887.65,-6110627370,Good,False
Alice,Davis,25.0,DevOps-Florida,Active,82318.89,-5869886496,Good,True
Grace,Brown,35.0,Admin-Florida,Inactive,103286.08,-6776228276,Average,False
Grace,Davis,35.0,Cloud Tech-Florida,Active,87759.33,-2881377027,Average,False
Frank,Brown,30.0,DevOps-Texas,Pending,102796.32,-5196115939,Good,False
David,Jones,25.0,Sales-New York,Active,83149.27,-8215454469,Poor,True
David,Garcia,40.0,DevOps-California,Inactive,92412.49,-2296044326,Excellent,True
Bob,Davis,30.0,HR-Texas,Pending,115022.1,-185106793,Good,False
Grace,Williams,40.0,DevOps-New York,Active,98343.01,-9756792286,Poor,False
Bob,Miller,35.0,DevOps-Illinois,Active,118869.1,-7725199662,Excellent,True
Frank,Smith,32.48454882571075,Finance-Nevada,Inactive,85417.26,-6580741208,Good,True
Grace,Brown,40.0,Cloud Tech-Florida,Inactive,112410.25,-4818139889,Good,True
Charlie,Johnson,40.0,Admin-Nevada,Pending,68905.77,-9837801819,Average,False
Heidi,Garcia,40.0,Finance-Nevada,Pending,72561.32,-4339718955,Excellent,True
Bob,Brown,35.0,Finance-New York,Inactive,92723.22,-9070562607,Excellent,True
Alice,Johnson,40.0,HR-New York,Inactive,74837.75,-5641118241,Poor,False
Eva,Miller,32.48454882571075,DevOps-California,Pending,86163.91,-2412462094,Average,True
David,Miller,40.0,Finance-Illinois,Active,83326.52,-2004615264,Average,True
Heidi,Miller,25.0,Cloud Tech-California,Active,98425.1,-4610339936,Average,True
Frank,Johnson,40.0,Sales-Illinois,Inactive,119764.2,-8861405785,Average,False
Frank,Brown,40.0,HR-California,Inactive,58445.91,-1706304890,Excellent,False
Bob,Miller,32.48454882571075,DevOps-New York,Active,101702.33,-3824967182,Excellent,False
Eva,Jones,25.0,Admin-California,Active,85155.05639558233,-2582386869,Good,False
Charlie,Davis,35.0,Cloud Tech-Texas,Pending,98819.22,-794200748,Good,False
Heidi,Johnson,25.0,Cloud Tech-Illinois,Inactive,83509.99,-4653984027,Average,False
Alice,Johnson,35.0,Finance-Texas,Active,84422.26,-9141612845,Average,False
Alice,Brown,30.0,Admin-Illinois,Inactive,119574.27,-3985547434,Average,True
Grace,Johnson,32.48454882571075,Sales-Illinois,Active,86580.08,-5379502096,Good,True
Heidi,Johnson,35.0,Sales-Florida,Inactive,93471.91,-26876810,Poor,False
Bob,Miller,30.0,DevOps-New York,Inactive,55683.12,-8071569561,Poor,True
Bob,Brown,30.0,Cloud Tech-Florida,Inactive,91566.78,-175370303,Good,True
David,Miller,35.0,DevOps-California,Pending,81782.19,-5319433749,Good,False
Eva,Davis,32.48454882571075,DevOps-New York,Inactive,88119.37,-4793036148,Good,True
Eva,Garcia,30.0,Cloud Tech-Texas,Active,71532.83,-8728399920,Good,True
Eva,Davis,40.0,Cloud Tech-Florida,Pending,98981.36,-9212493842,Good,True
Heidi,Garcia,40.0,Cloud Tech-Illinois,Active,80242.01,-894870604,Good,True
Eva,Miller,25.0,Cloud Tech-New York,Pending,110236.18,-6641877579,Average,True
Alice,Davis,35.0,Sales-Texas,Active,86327.47,-3046875062,Average,False
Eva,Brown,30.0,Sales-Florida,Pending,84420.81,-5190361331,Average,False
Frank,Smith,40.0,HR-California,Pending,110041.32,-5411076094,Average,False
Heidi,Miller,35.0,DevOps-Florida,Pending,81837.81,-4317350582,Good,True
Frank,Garcia,25.0,Finance-Illinois,Active,110855.72,-1997179109,Poor,False
Alice,Jones,30.0,Sales-California,Pending,84894.52,-651207048,Excellent,True
Alice,Garcia,30.0,HR-Illinois,Active,80668.13,-6110804660,Good,True
Bob,Jones,25.0,DevOps-Illinois,Active,61086.47,-9639907675,Excellent,True
Grace,Johnson,25.0,Admin-Texas,Inactive,95339.68,-9915078592,Poor,True
Eva,Davis,32.48454882571075,DevOps-California,Inactive,83774.97,-1109193927,Average,False
Heidi,Jones,32.48454882571075,Admin-Florida,Active,85576.86,-4567972319,Poor,False
Bob,Garcia,35.0,Finance-California,Pending,107438.46,-249685497,Good,True
Eva,Johnson,32.48454882571075,Sales-Nevada,Inactive,60401.68,-2274954507,Average,False
Frank,Smith,35.0,Sales-Illinois,Inactive,115299.66,-9203880652,Good,True
David,Brown,32.48454882571075,Finance-New York,Inactive,72272.34,-3315377958,Average,False
Grace,Brown,40.0,DevOps-Nevada,Active,117537.71,-9594652169,Excellent,False
Frank,Brown,25.0,Finance-Texas,Pending,51074.33,-7303379336,Excellent,True
Charlie,Jones,25.0,Finance-California,Inactive,98489.32,-5636205014,Excellent,False
Frank,Smith,32.48454882571075,Finance-California,Pending,112120.71,-812473949,Poor,True
Alice,Jones,32.48454882571075,Cloud Tech-New York,Pending,114465.04,-334234257,Good,False
Bob,Davis,40.0,Cloud Tech-Nevada,Pending,57035.51,-3230241025,Poor,True
Eva,Jones,25.0,Cloud Tech-California,Active,75092.43,-1534735527,Excellent,True
David,Smith,32.48454882571075,Finance-Illinois,Pending,62603.98,-9611223385,Good,False
Grace,Smith,32.48454882571075,DevOps-New York,Inactive,60018.24,-5596309937,Excellent,False
Eva,Davis,40.0,HR-Nevada,Active,82567.73,-4253042896,Poor,True
Charlie,Smith,25.0,Finance-California,Pending,94725.71,-3179128684,Poor,False
Eva,Garcia,40.0,HR-New York,Inactive,83824.56,-7872558776,Poor,False
Frank,Smith,32.48454882571075,HR-Nevada,Inactive,118456.11,-4969033372,Excellent,True
Eva,Brown,25.0,Sales-Nevada,Pending,113743.19,-6346692547,Good,True
Eva,Garcia,30.0,Sales-California,Active,63309.24,-1214785389,Good,False
Charlie,Garcia,25.0,DevOps-Nevada,Active,105202.73,-7895677664,Excellent,True
Frank,Davis,30.0,Cloud Tech-California,Inactive,79085.22,-7546027340,Good,True
Frank,Williams,32.48454882571075,Sales-California,Active,113983.43,-5148881430,Excellent,True
Eva,Williams,35.0,Cloud Tech-Florida,Active,102790.6,-1150835353,Good,False
Grace,Smith,32.48454882571075,HR-Texas,Inactive,68512.1,-4439284043,Average,False
Frank,Garcia,35.0,Sales-Florida,Pending,57584.23,-5669078262,Average,True
Alice,Williams,32.48454882571075,Sales-California,Pending,95335.67,-3373898774,Poor,False
Heidi,Williams,35.0,DevOps-Florida,Active,53174.28,-1536637779,Average,True
Heidi,Smith,25.0,Cloud Tech-New York,Pending,77205.21,-5292407552,Average,False
Grace,Williams,32.48454882571075,DevOps-Nevada,Active,79041.92,-6668459089,Average,True
Heidi,Jones,32.48454882571075,Finance-California,Active,75937.1,-2259999662,Excellent,True
David,Johnson,35.0,Cloud Tech-Nevada,Inactive,113118.73,-6186371596,Average,False
Alice,Davis,40.0,HR-New York,Active,107693.38,-4121820969,Average,True
David,Johnson,32.48454882571075,Cloud Tech-Texas,Inactive,119217.46,-2316433480,Poor,False
David,Smith,25.0,Sales-New York,Pending,106913.71,-7058025661,Average,False
Charlie,Brown,32.48454882571075,Cloud Tech-California,Active,87815.08,-1286716322,Average,True
Bob,Davis,25.0,Admin-Texas,Inactive,105190.21,-4672994937,Good,True
Alice,Smith,30.0,HR-Texas,Active,79467.24,-7430271692,Poor,False
Bob,Garcia,40.0,Finance-California,Pending,57633.78,-8597779013,Poor,True
Alice,Brown,32.48454882571075,HR-Florida,Pending,54257.78,-7546926328,Poor,True
Grace,Johnson,40.0,DevOps-Texas,Inactive,113679.06,-6762916031,Poor,True
Bob,Smith,35.0,Sales-New York,Active,69251.12,-4841376814,Poor,True
Frank,Garcia,40.0,Sales-Illinois,Inactive,85388.58,-1185672437,Poor,True
Bob,Davis,32.48454882571075,DevOps-New York,Inactive,112166.37,-701765635,Excellent,False
Heidi,Davis,40.0,Finance-Nevada,Active,79873.48,-41257770,Average,False
Frank,Miller,30.0,DevOps-Florida,Active,108224.03,-1837274219,Poor,True
Bob,Garcia,35.0,Admin-Illinois,Active,116963.72,-9124186209,Average,True
Bob,Jones,40.0,HR-Nevada,Inactive,114109.06,-4275230836,Average,True
Eva,Williams,32.48454882571075,HR-California,Active,85518.88,-816470899,Excellent,False
Heidi,Brown,30.0,Cloud Tech-California,Pending,58041.97,-6335331059,Poor,True
David,Garcia,40.0,Sales-Illinois,Pending,94988.94,-531312205,Good,False
Eva,Miller,25.0,Admin-California,Pending,71628.93,-8155839385,Excellent,False
Alice,Williams,30.0,Admin-Illinois,Pending,54870.98,-6133155205,Good,False
Alice,Williams,25.0,DevOps-Illinois,Active,79388.27,-5063731494,Average,True
Frank,Smith,35.0,DevOps-California,Pending,55946.99,-136497188,Average,False
Charlie,Williams,32.48454882571075,Cloud Tech-Nevada,Active,81017.91,-2419562524,Excellent,True
Heidi,Jones,40.0,HR-New York,Pending,74162.1,-7150997682,Excellent,False
Heidi,Davis,32.48454882571075,DevOps-California,Active,77668.44,-8903091435,Good,True
Alice,Miller,30.0,HR-New York,Active,67886.37,-3910257431,Poor,False
Alice,Williams,40.0,DevOps-Florida,Active,76614.52,-6303975244,Good,True
Frank,Smith,25.0,Finance-Nevada,Active,51311.91,-864035532,Excellent,False
Frank,Jones,32.48454882571075,Finance-Illinois,Inactive,94809.92,-8033968526,Good,True
Grace,Johnson,25.0,HR-New York,Pending,108241.81,-171302320,Excellent,True
Bob,Davis,40.0,Cloud Tech-New York,Inactive,78031.49,-2983381673,Good,True
Eva,Davis,35.0,Admin-California,Active,85733.83,-2336293448,Excellent,True
David,Miller,35.0,HR-Nevada,Pending,60338.29,-7347156626,Excellent,False
Eva,Davis,30.0,Admin-Illinois,Active,103140.67,-7689627065,Excellent,False
Heidi,Williams,40.0,Sales-Illinois,Inactive,114690.8,-1498282466,Poor,True
Frank,Smith,35.0,Admin-Florida,Active,80954.56,-4746897151,Good,False
Eva,Davis,32.48454882571075,Cloud Tech-California,Pending,71728.55,-7323008575,Good,True
Alice,Davis,35.0,HR-Texas,Pending,118415.8,-6656749159,Good,True
Grace,Johnson,40.0,Sales-Illinois,Pending,81481.36,-1692364586,Excellent,False
David,Johnson,35.0,Sales-Florida,Pending,117040.57,-5066337049,Good,True
Frank,Brown,25.0,Sales-Nevada,Active,67342.06,-2497243991,Good,True
Heidi,Jones,32.48454882571075,Sales-Illinois,Active,76099.64,-116691835,Excellent,False
Grace,Williams,35.0,DevOps-Illinois,Active,94162.06,-2644886945,Average,True
Frank,Davis,25.0,Sales-Nevada,Inactive,67639.7,-1195243639,Excellent,True
Charlie,Garcia,35.0,Cloud Tech-Illinois,Pending,114172.25,-2701168645,Good,True
Grace,Davis,30.0,Sales-Nevada,Active,89124.54,-2252237280,Excellent,True
Frank,Smith,30.0,DevOps-Nevada,Pending,113871.36,-7932302345,Average,False
Grace,Brown,32.48454882571075,HR-Texas,Inactive,62618.4,-7912141613,Excellent,False
Heidi,Jones,30.0,Admin-New York,Active,70705.45,-1509377099,Good,False
Alice,Garcia,35.0,Sales-New York,Pending,60797.69,-4090138068,Average,True
Charlie,Brown,40.0,Cloud Tech-Florida,Inactive,100371.0,-8477596554,Poor,True
Eva,Miller,40.0,Admin-Illinois,Active,117591.76,-5356690550,Good,False
David,Jones,35.0,DevOps-Illinois,Inactive,103860.7,-762091842,Average,True
Grace,Davis,30.0,Admin-Illinois,Active,67500.22,-5797863049,Average,True
Frank,Davis,32.48454882571075,Cloud Tech-Nevada,Pending,58727.44,-5057397690,Poor,True
Charlie,Jones,35.0,Finance-Illinois,Active,80623.08,-5671649327,Excellent,True
David,Davis,40.0,HR-Texas,Inactive,77751.78,-9802714871,Excellent,False
Grace,Williams,25.0,HR-New York,Active,115157.81,-7178333210,Good,False
Frank,Jones,30.0,Admin-Texas,Inactive,83071.85,-6025643470,Poor,False
Heidi,Brown,40.0,Sales-Texas,Active,67914.67,-2871539914,Excellent,True
Grace,Jones,25.0,HR-New York,Inactive,53342.46,-6686334140,Poor,False
Heidi,Garcia,25.0,Cloud Tech-Florida,Pending,51150.47,-1159319524,Excellent,False
David,Davis,30.0,HR-Florida,Active,74697.12,-6904098365,Average,True
Charlie,Williams,25.0,Sales-California,Active,88085.74,-5528993159,Excellent,True
Alice,Williams,40.0,Finance-Texas,Pending,118672.76,-8752437728,Poor,False
Alice,Miller,35.0,Cloud Tech-California,Active,95997.31,-4209548148,Average,False
Frank,Brown,30.0,Cloud Tech-California,Pending,106945.62,-7374605232,Average,False
Heidi,Johnson,40.0,DevOps-New York,Active,100123.15,-276420864,Average,False
Alice,Johnson,35.0,Admin-Texas,Active,52933.42,-6756618442,Poor,True
Grace,Jones,32.48454882571075,Finance-California,Active,95283.03,-8612590471,Good,False
Alice,Miller,35.0,HR-Texas,Inactive,112264.06,-9277423329,Good,False
Grace,Smith,35.0,Admin-Florida,Pending,75714.28,-5912662014,Good,True
Eva,Jones,25.0,DevOps-Florida,Active,92171.73,-7201859625,Poor,False
Eva,Miller,35.0,Cloud Tech-Texas,Inactive,70694.8,-3013674925,Average,True
Grace,Brown,30.0,DevOps-Florida,Inactive,52964.86,-1764750110,Good,True
Frank,Brown,32.48454882571075,Finance-California,Pending,116353.31,-1783099973,Poor,True
Grace,Brown,35.0,Sales-Nevada,Pending,116695.26,-1926764920,Good,False
Heidi,Brown,25.0,Admin-Texas,Active,95161.4,-5182606887,Excellent,False
Alice,Brown,32.48454882571075,Admin-Nevada,Inactive,76040.94,-7189813128,Good,True
Charlie,Miller,32.48454882571075,HR-Florida,Inactive,69508.28,-2087510292,Good,False
Alice,Miller,30.0,Finance-Illinois,Inactive,58243.27,-2184011844,Average,False
Heidi,Williams,30.0,Sales-California,Pending,64012.48,-8260340847,Poor,True
Bob,Garcia,40.0,Admin-Nevada,Inactive,106735.93,-7297585987,Average,True
Frank,Johnson,35.0,DevOps-Texas,Pending,70325.36,-3103032431,Average,False
Charlie,Davis,30.0,HR-Illinois,Active,118959.28,-9839542960,Average,True
David,Brown,40.0,Cloud Tech-California,Pending,75823.78,-8446267145,Average,False
Charlie,Smith,32.48454882571075,Cloud Tech-Texas,Inactive,119971.65,-2831435988,Average,False
Grace,Davis,40.0,Sales-Texas,Active,94963.7,-2625660930,Good,False
Frank,Miller,30.0,Sales-Nevada,Pending,103744.71,-4181861514,Average,False
Alice,Smith,25.0,Sales-New York,Inactive,61337.69,-5423401635,Average,True
David,Smith,35.0,Sales-California,Active,63741.13,-1128497184,Poor,True
Eva,Smith,30.0,DevOps-California,Pending,56539.99,-9484910255,Excellent,True
Charlie,Williams,30.0,DevOps-Illinois,Pending,73633.37,-2588967923,Good,True
Alice,Miller,25.0,Cloud Tech-Texas,Pending,90373.99,-822269404,Good,False
Grace,Smith,32.48454882571075,DevOps-Texas,Inactive,93901.48,-3967275783,Good,False
Eva,Brown,40.0,Admin-Nevada,Inactive,81748.09,-4683414650,Average,True
Charlie,Jones,40.0,Finance-Florida,Inactive,73813.48,-1131290147,Average,False
Frank,Smith,35.0,Finance-New York,Inactive,89315.59,-7068277880,Average,False
Heidi,Williams,25.0,HR-Florida,Active,56776.82,-6093068537,Poor,False
Grace,Davis,32.48454882571075,Finance-New York,Active,72920.51,-9097283214,Excellent,True
Frank,Miller,30.0,Admin-Florida,Pending,84913.18,-2850676250,Average,True
Alice,Garcia,25.0,Finance-Illinois,Inactive,65060.11,-5381447442,Excellent,True
Alice,Williams,35.0,Finance-Illinois,Pending,82941.08,-963480796,Poor,False
Bob,Smith,40.0,Admin-California,Pending,103469.97,-509754509,Good,True
Grace,Miller,25.0,Sales-Illinois,Active,88725.6,-5265016730,Average,True
Heidi,Jones,32.48454882571075,HR-Illinois,Pending,58316.77,-8826170242,Excellent,True
Grace,Smith,35.0,HR-Illinois,Inactive,60098.72,-7654562840,Excellent,True
Grace,Williams,32.48454882571075,Cloud Tech-Texas,Active,99951.43,-7722560530,Average,True
Heidi,Johnson,30.0,Sales-Illinois,Active,115195.81,-3402665022,Good,True
Grace,Brown,32.48454882571075,DevOps-California,Pending,85512.05,-7416787255,Good,False
Heidi,Garcia,32.48454882571075,HR-Florida,Active,73186.77,-8621102257,Good,False
Grace,Davis,32.48454882571075,HR-Nevada,Pending,51865.3,-305690673,Poor,True
David,Williams,25.0,Sales-Florida,Active,94031.77,-4716392822,Excellent,True
Grace,Miller,30.0,DevOps-New York,Active,116374.36,-4143637188,Excellent,False
Alice,Garcia,40.0,HR-Florida,Active,98335.02,-2392312603,Excellent,False
Heidi,Garcia,25.0,DevOps-New York,Pending,89262.07,-3260931065,Poor,True
Heidi,Garcia,32.48454882571075,Finance-California,Active,113848.69,-8433567085,Excellent,True
Frank,Smith,35.0,Sales-Florida,Active,69530.45,-414545634,Poor,True
Eva,Brown,35.0,DevOps-New York,Pending,84230.22,-200053473,Good,True
Eva,Smith,35.0,Cloud Tech-Illinois,Pending,76578.59,-9162475540,Average,False
Frank,Miller,30.0,HR-Texas,Inactive,55532.06,-1082555988,Excellent,True
Eva,Smith,40.0,Admin-New York,Pending,115311.68,-5343961128,Excellent,True
Charlie,Johnson,25.0,Sales-Nevada,Pending,66972.06,-1093371188,Good,True
David,Brown,30.0,Cloud Tech-Texas,Inactive,100215.06,-5473820235,Average,True
Charlie,Brown,25.0,Sales-New York,Inactive,115452.25,-8485571616,Poor,False
Heidi,Miller,30.0,HR-California,Inactive,54141.38,-6880294239,Average,False
David,Davis,32.48454882571075,DevOps-Nevada,Active,79251.95,-9036788126,Good,False
Alice,Johnson,40.0,Finance-New York,Pending,114822.78,-8686694319,Good,True
Alice,Williams,35.0,Sales-Illinois,Active,69919.32,-2939087883,Average,True
Heidi,Smith,30.0,Sales-Florida,Inactive,106616.97,-4344812307,Poor,False
Heidi,Jones,35.0,DevOps-New York,Active,73597.85,-3402424032,Poor,True
David,Smith,30.0,Sales-Nevada,Inactive,79939.23,-8105955183,Excellent,True
Grace,Garcia,25.0,Admin-New York,Inactive,85155.05639558233,-2694500533,Poor,False
Grace,Smith,30.0,Finance-California,Inactive,90772.25,-2408916497,Average,False
Eva,Williams,35.0,DevOps-New York,Active,58275.74,-3735439626,Good,False
Grace,Smith,32.48454882571075,DevOps-California,Pending,94709.79,-3652717271,Excellent,False
Frank,Johnson,32.48454882571075,Admin-New York,Active,60722.99,-2397240421,Excellent,True
Frank,Johnson,40.0,DevOps-Illinois,Inactive,87626.24,-6931216375,Good,True
David,Brown,30.0,DevOps-Illinois,Active,81272.36,-1820916600,Poor,False
Bob,Miller,32.48454882571075,Cloud Tech-Texas,Pending,64150.97,-23142899,Good,True
Charlie,Davis,35.0,Sales-Florida,Active,64378.1,-1851327971,Poor,False
Bob,Jones,32.48454882571075,Finance-Texas,Inactive,85927.35,-4572308480,Good,False
Alice,Garcia,32.48454882571075,Finance-Nevada,Inactive,51523.93,-18418619,Average,True
Alice,Smith,30.0,Sales-Texas,Active,74117.02,-3036625435,Poor,False
Alice,Smith,25.0,Finance-Texas,Inactive,62598.69,-1721314518,Average,True
Grace,Williams,35.0,Finance-Florida,Inactive,55617.5,-5151092267,Excellent,True
Charlie,Miller,35.0,Cloud Tech-New York,Pending,87018.98,-5926249450,Good,True
David,Johnson,25.0,Cloud Tech-California,Inactive,100336.58,-4754102251,Excellent,True
Grace,Jones,30.0,Admin-Florida,Inactive,69295.48,-6771196420,Excellent,False
Bob,Brown,25.0,DevOps-Florida,Pending,115536.66,-5226557675,Excellent,True
David,Johnson,30.0,Cloud Tech-Texas,Pending,81250.87,-9523668787,Excellent,False
Alice,Garcia,30.0,DevOps-Texas,Inactive,66403.75,-7883619688,Good,False
Alice,Miller,30.0,Sales-California,Active,114147.79,-3135030586,Excellent,False
Frank,Garcia,30.0,HR-New York,Pending,65472.99,-2105524727,Good,False
Alice,Davis,32.48454882571075,Sales-Nevada,Active,97512.51,-6333021259,Good,True
Alice,Brown,35.0,DevOps-Nevada,Inactive,86712.41,-6501917919,Average,True
Grace,Davis,30.0,HR-Florida,Active,87654.98,-2521310961,Poor,False
David,Williams,35.0,DevOps-New York,Inactive,89367.02,-2728476569,Poor,False
Charlie,Garcia,40.0,Admin-California,Active,95269.41,-4120092819,Good,True
Frank,Williams,25.0,Sales-Nevada,Active,68792.31,-6678498435,Average,False
Alice,Smith,25.0,Admin-Illinois,Pending,89119.53,-2418623689,Good,True
Frank,Davis,35.0,Cloud Tech-New York,Active,58212.13,-3628917755,Good,False
Heidi,Miller,30.0,DevOps-Illinois,Pending,77764.24,-6205634110,Good,True
Frank,Garcia,35.0,Finance-Florida,Pending,75148.17,-5950342810,Average,False
Heidi,Jones,40.0,Cloud Tech-Nevada,Inactive,108781.18,-3904383033,Poor,False
Frank,Brown,35.0,Finance-Texas,Pending,65489.19,-1990970050,Average,True
Eva,Johnson,32.48454882571075,Sales-Illinois,Pending,70663.46,-4054683564,Excellent,False
David,Miller,40.0,Sales-New York,Inactive,95822.56,-2156818208,Average,False
Eva,Miller,40.0,DevOps-Nevada,Pending,82258.03,-6790422710,Average,True
Frank,Williams,30.0,Admin-Nevada,Pending,62883.34,-3322889856,Average,False
Alice,Davis,32.48454882571075,Cloud Tech-Texas,Pending,103503.72,-2545960632,Average,True
David,Garcia,25.0,DevOps-New York,Active,85401.3,-9912971023,Poor,True
Heidi,Garcia,40.0,Cloud Tech-Texas,Pending,85155.05639558233,-8171752420,Excellent,False
