First_Name,Last_Name,Age,Department_Region,Status,Salary,Email,Phone,Performance_Score,Remote_Work
David,Brown,40.0,Admin-California,Inactive,52031.74,david.brown@example.com,-1589357125,Good,True
Grace,Brown,30.0,Finance-New York,Pending,51887.65,grace.brown@example.com,-6110627370,Good,False
Alice,Davis,25.0,DevOps-Florida,Active,82318.89,alice.davis@example.com,-5869886496,Good,True
Grace,Brown,35.0,Admin-Florida,Inactive,103286.08,grace.brown@example.com,-6776228276,Average,False
Grace,Davis,35.0,Cloud Tech-Florida,Active,87759.33,grace.davis@example.com,-2881377027,Average,False
Frank,Brown,30.0,DevOps-Texas,Pending,102796.32,frank.brown@example.com,-5196115939,Good,False
David,Jones,25.0,Sales-New York,Active,83149.27,david.jones@example.com,-8215454469,Poor,True
David,Garcia,40.0,DevOps-California,Inactive,92412.49,david.garcia@example.com,-2296044326,Excellent,True
Bob,Davis,30.0,HR-Texas,Pending,115022.1,bob.davis@example.com,-185106793,Good,False
Grace,Williams,40.0,DevOps-New York,Active,98343.01,grace.williams@example.com,-9756792286,Poor,False
Bob,Miller,35.0,DevOps-Illinois,Active,118869.1,bob.miller@example.com,-7725199662,Excellent,True
Frank,Smith,32.48454882571075,Finance-Nevada,Inactive,85417.26,frank.smith@example.com,-6580741208,Good,True
Grace,Brown,40.0,Cloud Tech-Florida,Inactive,112410.25,grace.brown@example.com,-4818139889,Good,True
Charlie,Johnson,40.0,Admin-Nevada,Pending,68905.77,charlie.johnson@example.com,-9837801819,Average,False
Heidi,Garcia,40.0,Finance-Nevada,Pending,72561.32,heidi.garcia@example.com,-4339718955,Excellent,True
Bob,Brown,35.0,Finance-New York,Inactive,92723.22,bob.brown@example.com,-9070562607,Excellent,True
Alice,Johnson,40.0,HR-New York,Inactive,74837.75,alice.johnson@example.com,-5641118241,Poor,False
Eva,Miller,32.48454882571075,DevOps-California,Pending,86163.91,eva.miller@example.com,-2412462094,Average,True
David,Miller,40.0,Finance-Illinois,Active,83326.52,david.miller@example.com,-2004615264,Average,True
Heidi,Miller,25.0,Cloud Tech-California,Active,98425.1,heidi.miller@example.com,-4610339936,Average,True
Frank,Johnson,40.0,Sales-Illinois,Inactive,119764.2,frank.johnson@example.com,-8861405785,Average,False
Frank,Brown,40.0,HR-California,Inactive,58445.91,frank.brown@example.com,-1706304890,Excellent,False
Bob,Miller,32.48454882571075,DevOps-New York,Active,101702.33,bob.miller@example.com,-3824967182,Excellent,False
Eva,Jones,25.0,Admin-California,Active,85155.05639558233,eva.jones@example.com,-2582386869,Good,False
Charlie,Davis,35.0,Cloud Tech-Texas,Pending,98819.22,charlie.davis@example.com,-794200748,Good,False
Heidi,Johnson,25.0,Cloud Tech-Illinois,Inactive,83509.99,heidi.johnson@example.com,-4653984027,Average,False
Alice,Johnson,35.0,Finance-Texas,Active,84422.26,alice.johnson@example.com,-9141612845,Average,False
Alice,Brown,30.0,Admin-Illinois,Inactive,119574.27,alice.brown@example.com,-3985547434,Average,True
Grace,Johnson,32.48454882571075,Sales-Illinois,Active,86580.08,grace.johnson@example.com,-5379502096,Good,True
Heidi,Johnson,35.0,Sales-Florida,Inactive,93471.91,heidi.johnson@example.com,-26876810,Poor,False
Bob,Miller,30.0,DevOps-New York,Inactive,55683.12,bob.miller@example.com,-8071569561,Poor,True
Bob,Brown,30.0,Cloud Tech-Florida,Inactive,91566.78,bob.brown@example.com,-175370303,Good,True
David,Miller,35.0,DevOps-California,Pending,81782.19,david.miller@example.com,-5319433749,Good,False
Eva,Davis,32.48454882571075,DevOps-New York,Inactive,88119.37,eva.davis@example.com,-4793036148,Good,True
Eva,Garcia,30.0,Cloud Tech-Texas,Active,71532.83,eva.garcia@example.com,-8728399920,Good,True
Eva,Davis,40.0,Cloud Tech-Florida,Pending,98981.36,eva.davis@example.com,-9212493842,Good,True
Heidi,Garcia,40.0,Cloud Tech-Illinois,Active,80242.01,heidi.garcia@example.com,-894870604,Good,True
Eva,Miller,25.0,Cloud Tech-New York,Pending,110236.18,eva.miller@example.com,-6641877579,Average,True
Alice,Davis,35.0,Sales-Texas,Active,86327.47,alice.davis@example.com,-3046875062,Average,False
Eva,Brown,30.0,Sales-Florida,Pending,84420.81,eva.brown@example.com,-5190361331,Average,False
Frank,Smith,40.0,HR-California,Pending,110041.32,frank.smith@example.com,-5411076094,Average,False
Heidi,Miller,35.0,DevOps-Florida,Pending,81837.81,heidi.miller@example.com,-4317350582,Good,True
Frank,Garcia,25.0,Finance-Illinois,Active,110855.72,frank.garcia@example.com,-1997179109,Poor,False
Alice,Jones,30.0,Sales-California,Pending,84894.52,alice.jones@example.com,-651207048,Excellent,True
Alice,Garcia,30.0,HR-Illinois,Active,80668.13,alice.garcia@example.com,-6110804660,Good,True
Bob,Jones,25.0,DevOps-Illinois,Active,61086.47,bob.jones@example.com,-9639907675,Excellent,True
Grace,Johnson,25.0,Admin-Texas,Inactive,95339.68,grace.johnson@example.com,-9915078592,Poor,True
Eva,Davis,32.48454882571075,DevOps-California,Inactive,83774.97,eva.davis@example.com,-1109193927,Average,False
Heidi,Jones,32.48454882571075,Admin-Florida,Active,85576.86,heidi.jones@example.com,-4567972319,Poor,False
Bob,Garcia,35.0,Finance-California,Pending,107438.46,bob.garcia@example.com,-249685497,Good,True
Eva,Johnson,32.48454882571075,Sales-Nevada,Inactive,60401.68,eva.johnson@example.com,-2274954507,Average,False
Frank,Smith,35.0,Sales-Illinois,Inactive,115299.66,frank.smith@example.com,-9203880652,Good,True
David,Brown,32.48454882571075,Finance-New York,Inactive,72272.34,david.brown@example.com,-3315377958,Average,False
Grace,Brown,40.0,DevOps-Nevada,Active,117537.71,grace.brown@example.com,-9594652169,Excellent,False
Frank,Brown,25.0,Finance-Texas,Pending,51074.33,frank.brown@example.com,-7303379336,Excellent,True
Charlie,Jones,25.0,Finance-California,Inactive,98489.32,charlie.jones@example.com,-5636205014,Excellent,False
Frank,Smith,32.48454882571075,Finance-California,Pending,112120.71,frank.smith@example.com,-812473949,Poor,True
Alice,Jones,32.48454882571075,Cloud Tech-New York,Pending,114465.04,alice.jones@example.com,-334234257,Good,False
Bob,Davis,40.0,Cloud Tech-Nevada,Pending,57035.51,bob.davis@example.com,-3230241025,Poor,True
Eva,Jones,25.0,Cloud Tech-California,Active,75092.43,eva.jones@example.com,-1534735527,Excellent,True
David,Smith,32.48454882571075,Finance-Illinois,Pending,62603.98,david.smith@example.com,-9611223385,Good,False
Grace,Smith,32.48454882571075,DevOps-New York,Inactive,60018.24,grace.smith@example.com,-5596309937,Excellent,False
Eva,Davis,40.0,HR-Nevada,Active,82567.73,eva.davis@example.com,-4253042896,Poor,True
Charlie,Smith,25.0,Finance-California,Pending,94725.71,charlie.smith@example.com,-3179128684,Poor,False
Eva,Garcia,40.0,HR-New York,Inactive,83824.56,eva.garcia@example.com,-7872558776,Poor,False
Frank,Smith,32.48454882571075,HR-Nevada,Inactive,118456.11,frank.smith@example.com,-4969033372,Excellent,True
Eva,Brown,25.0,Sales-Nevada,Pending,113743.19,eva.brown@example.com,-6346692547,Good,True
Eva,Garcia,30.0,Sales-California,Active,63309.24,eva.garcia@example.com,-1214785389,Good,False
Charlie,Garcia,25.0,DevOps-Nevada,Active,105202.73,charlie.garcia@example.com,-7895677664,Excellent,True
Frank,Davis,30.0,Cloud Tech-California,Inactive,79085.22,frank.davis@example.com,-7546027340,Good,True
Frank,Williams,32.48454882571075,Sales-California,Active,113983.43,frank.williams@example.com,-5148881430,Excellent,True
Eva,Williams,35.0,Cloud Tech-Florida,Active,102790.6,eva.williams@example.com,-1150835353,Good,False
Grace,Smith,32.48454882571075,HR-Texas,Inactive,68512.1,grace.smith@example.com,-4439284043,Average,False
Frank,Garcia,35.0,Sales-Florida,Pending,57584.23,frank.garcia@example.com,-5669078262,Average,True
Alice,Williams,32.48454882571075,Sales-California,Pending,95335.67,alice.williams@example.com,-3373898774,Poor,False
Heidi,Williams,35.0,DevOps-Florida,Active,53174.28,heidi.williams@example.com,-1536637779,Average,True
Heidi,Smith,25.0,Cloud Tech-New York,Pending,77205.21,heidi.smith@example.com,-5292407552,Average,False
Grace,Williams,32.48454882571075,DevOps-Nevada,Active,79041.92,grace.williams@example.com,-6668459089,Average,True
Heidi,Jones,32.48454882571075,Finance-California,Active,75937.1,heidi.jones@example.com,-2259999662,Excellent,True
David,Johnson,35.0,Cloud Tech-Nevada,Inactive,113118.73,david.johnson@example.com,-6186371596,Average,False
Alice,Davis,40.0,HR-New York,Active,107693.38,alice.davis@example.com,-4121820969,Average,True
David,Johnson,32.48454882571075,Cloud Tech-Texas,Inactive,119217.46,david.johnson@example.com,-2316433480,Poor,False
David,Smith,25.0,Sales-New York,Pending,106913.71,david.smith@example.com,-7058025661,Average,False
Charlie,Brown,32.48454882571075,Cloud Tech-California,Active,87815.08,charlie.brown@example.com,-1286716322,Average,True
Bob,Davis,25.0,Admin-Texas,Inactive,105190.21,bob.davis@example.com,-4672994937,Good,True
Alice,Smith,30.0,HR-Texas,Active,79467.24,alice.smith@example.com,-7430271692,Poor,False
Bob,Garcia,40.0,Finance-California,Pending,57633.78,bob.garcia@example.com,-8597779013,Poor,True
Alice,Brown,32.48454882571075,HR-Florida,Pending,54257.78,alice.brown@example.com,-7546926328,Poor,True
Grace,Johnson,40.0,DevOps-Texas,Inactive,113679.06,grace.johnson@example.com,-6762916031,Poor,True
Bob,Smith,35.0,Sales-New York,Active,69251.12,bob.smith@example.com,-4841376814,Poor,True
Frank,Garcia,40.0,Sales-Illinois,Inactive,85388.58,frank.garcia@example.com,-1185672437,Poor,True
Bob,Davis,32.48454882571075,DevOps-New York,Inactive,112166.37,bob.davis@example.com,-701765635,Excellent,False
Heidi,Davis,40.0,Finance-Nevada,Active,79873.48,heidi.davis@example.com,-41257770,Average,False
Frank,Miller,30.0,DevOps-Florida,Active,108224.03,frank.miller@example.com,-1837274219,Poor,True
Bob,Garcia,35.0,Admin-Illinois,Active,116963.72,bob.garcia@example.com,-9124186209,Average,True
Bob,Jones,40.0,HR-Nevada,Inactive,114109.06,bob.jones@example.com,-4275230836,Average,True
Eva,Williams,32.48454882571075,HR-California,Active,85518.88,eva.williams@example.com,-816470899,Excellent,False
Heidi,Brown,30.0,Cloud Tech-California,Pending,58041.97,heidi.brown@example.com,-6335331059,Poor,True
David,Garcia,40.0,Sales-Illinois,Pending,94988.94,david.garcia@example.com,-531312205,Good,False
Eva,Miller,25.0,Admin-California,Pending,71628.93,eva.miller@example.com,-8155839385,Excellent,False
Alice,Williams,30.0,Admin-Illinois,Pending,54870.98,alice.williams@example.com,-6133155205,Good,False
Alice,Williams,25.0,DevOps-Illinois,Active,79388.27,alice.williams@example.com,-5063731494,Average,True
Frank,Smith,35.0,DevOps-California,Pending,55946.99,frank.smith@example.com,-136497188,Average,False
Charlie,Williams,32.48454882571075,Cloud Tech-Nevada,Active,81017.91,charlie.williams@example.com,-2419562524,Excellent,True
Heidi,Jones,40.0,HR-New York,Pending,74162.1,heidi.jones@example.com,-7150997682,Excellent,False
Heidi,Davis,32.48454882571075,DevOps-California,Active,77668.44,heidi.davis@example.com,-8903091435,Good,True
Alice,Miller,30.0,HR-New York,Active,67886.37,alice.miller@example.com,-3910257431,Poor,False
Alice,Williams,40.0,DevOps-Florida,Active,76614.52,alice.williams@example.com,-6303975244,Good,True
Frank,Smith,25.0,Finance-Nevada,Active,51311.91,frank.smith@example.com,-864035532,Excellent,False
Frank,Jones,32.48454882571075,Finance-Illinois,Inactive,94809.92,frank.jones@example.com,-8033968526,Good,True
Grace,Johnson,25.0,HR-New York,Pending,108241.81,grace.johnson@example.com,-171302320,Excellent,True
Bob,Davis,40.0,Cloud Tech-New York,Inactive,78031.49,bob.davis@example.com,-2983381673,Good,True
Eva,Davis,35.0,Admin-California,Active,85733.83,eva.davis@example.com,-2336293448,Excellent,True
David,Miller,35.0,HR-Nevada,Pending,60338.29,david.miller@example.com,-7347156626,Excellent,False
Eva,Davis,30.0,Admin-Illinois,Active,103140.67,eva.davis@example.com,-7689627065,Excellent,False
Heidi,Williams,40.0,Sales-Illinois,Inactive,114690.8,heidi.williams@example.com,-1498282466,Poor,True
Frank,Smith,35.0,Admin-Florida,Active,80954.56,frank.smith@example.com,-4746897151,Good,False
Eva,Davis,32.48454882571075,Cloud Tech-California,Pending,71728.55,eva.davis@example.com,-7323008575,Good,True
Alice,Davis,35.0,HR-Texas,Pending,118415.8,alice.davis@example.com,-6656749159,Good,True
Grace,Johnson,40.0,Sales-Illinois,Pending,81481.36,grace.johnson@example.com,-1692364586,Excellent,False
David,Johnson,35.0,Sales-Florida,Pending,117040.57,david.johnson@example.com,-5066337049,Good,True
Frank,Brown,25.0,Sales-Nevada,Active,67342.06,frank.brown@example.com,-2497243991,Good,True
Heidi,Jones,32.48454882571075,Sales-Illinois,Active,76099.64,heidi.jones@example.com,-116691835,Excellent,False
Grace,Williams,35.0,DevOps-Illinois,Active,94162.06,grace.williams@example.com,-2644886945,Average,True
Frank,Davis,25.0,Sales-Nevada,Inactive,67639.7,frank.davis@example.com,-1195243639,Excellent,True
Charlie,Garcia,35.0,Cloud Tech-Illinois,Pending,114172.25,charlie.garcia@example.com,-2701168645,Good,True
Grace,Davis,30.0,Sales-Nevada,Active,89124.54,grace.davis@example.com,-2252237280,Excellent,True
Frank,Smith,30.0,DevOps-Nevada,Pending,113871.36,frank.smith@example.com,-7932302345,Average,False
Grace,Brown,32.48454882571075,HR-Texas,Inactive,62618.4,grace.brown@example.com,-7912141613,Excellent,False
Heidi,Jones,30.0,Admin-New York,Active,70705.45,heidi.jones@example.com,-1509377099,Good,False
Alice,Garcia,35.0,Sales-New York,Pending,60797.69,alice.garcia@example.com,-4090138068,Average,True
Charlie,Brown,40.0,Cloud Tech-Florida,Inactive,100371.0,charlie.brown@example.com,-8477596554,Poor,True
Eva,Miller,40.0,Admin-Illinois,Active,117591.76,eva.miller@example.com,-5356690550,Good,False
David,Jones,35.0,DevOps-Illinois,Inactive,103860.7,david.jones@example.com,-762091842,Average,True
Grace,Davis,30.0,Admin-Illinois,Active,67500.22,grace.davis@example.com,-5797863049,Average,True
Frank,Davis,32.48454882571075,Cloud Tech-Nevada,Pending,58727.44,frank.davis@example.com,-5057397690,Poor,True
Charlie,Jones,35.0,Finance-Illinois,Active,80623.08,charlie.jones@example.com,-5671649327,Excellent,True
David,Davis,40.0,HR-Texas,Inactive,77751.78,david.davis@example.com,-9802714871,Excellent,False
Grace,Williams,25.0,HR-New York,Active,115157.81,grace.williams@example.com,-7178333210,Good,False
Frank,Jones,30.0,Admin-Texas,Inactive,83071.85,frank.jones@example.com,-6025643470,Poor,False
Heidi,Brown,40.0,Sales-Texas,Active,67914.67,heidi.brown@example.com,-2871539914,Excellent,True
Grace,Jones,25.0,HR-New York,Inactive,53342.46,grace.jones@example.com,-6686334140,Poor,False
Heidi,Garcia,25.0,Cloud Tech-Florida,Pending,51150.47,heidi.garcia@example.com,-1159319524,Excellent,False
David,Davis,30.0,HR-Florida,Active,74697.12,david.davis@example.com,-6904098365,Average,True
Charlie,Williams,25.0,Sales-California,Active,88085.74,charlie.williams@example.com,-5528993159,Excellent,True
Alice,Williams,40.0,Finance-Texas,Pending,118672.76,alice.williams@example.com,-8752437728,Poor,False
Alice,Miller,35.0,Cloud Tech-California,Active,95997.31,alice.miller@example.com,-4209548148,Average,False
Frank,Brown,30.0,Cloud Tech-California,Pending,106945.62,frank.brown@example.com,-7374605232,Average,False
Heidi,Johnson,40.0,DevOps-New York,Active,100123.15,heidi.johnson@example.com,-276420864,Average,False
Alice,Johnson,35.0,Admin-Texas,Active,52933.42,alice.johnson@example.com,-6756618442,Poor,True
Grace,Jones,32.48454882571075,Finance-California,Active,95283.03,grace.jones@example.com,-8612590471,Good,False
Alice,Miller,35.0,HR-Texas,Inactive,112264.06,alice.miller@example.com,-9277423329,Good,False
Grace,Smith,35.0,Admin-Florida,Pending,75714.28,grace.smith@example.com,-5912662014,Good,True
Eva,Jones,25.0,DevOps-Florida,Active,92171.73,eva.jones@example.com,-7201859625,Poor,False
Eva,Miller,35.0,Cloud Tech-Texas,Inactive,70694.8,eva.miller@example.com,-3013674925,Average,True
Grace,Brown,30.0,DevOps-Florida,Inactive,52964.86,grace.brown@example.com,-1764750110,Good,True
Frank,Brown,32.48454882571075,Finance-California,Pending,116353.31,frank.brown@example.com,-1783099973,Poor,True
Grace,Brown,35.0,Sales-Nevada,Pending,116695.26,grace.brown@example.com,-1926764920,Good,False
Heidi,Brown,25.0,Admin-Texas,Active,95161.4,heidi.brown@example.com,-5182606887,Excellent,False
Alice,Brown,32.48454882571075,Admin-Nevada,Inactive,76040.94,alice.brown@example.com,-7189813128,Good,True
Charlie,Miller,32.48454882571075,HR-Florida,Inactive,69508.28,charlie.miller@example.com,-2087510292,Good,False
Alice,Miller,30.0,Finance-Illinois,Inactive,58243.27,alice.miller@example.com,-2184011844,Average,False
Heidi,Williams,30.0,Sales-California,Pending,64012.48,heidi.williams@example.com,-8260340847,Poor,True
Bob,Garcia,40.0,Admin-Nevada,Inactive,106735.93,bob.garcia@example.com,-7297585987,Average,True
Frank,Johnson,35.0,DevOps-Texas,Pending,70325.36,frank.johnson@example.com,-3103032431,Average,False
Charlie,Davis,30.0,HR-Illinois,Active,118959.28,charlie.davis@example.com,-9839542960,Average,True
David,Brown,40.0,Cloud Tech-California,Pending,75823.78,david.brown@example.com,-8446267145,Average,False
Charlie,Smith,32.48454882571075,Cloud Tech-Texas,Inactive,119971.65,charlie.smith@example.com,-2831435988,Average,False
Grace,Davis,40.0,Sales-Texas,Active,94963.7,grace.davis@example.com,-2625660930,Good,False
Frank,Miller,30.0,Sales-Nevada,Pending,103744.71,frank.miller@example.com,-4181861514,Average,False
Alice,Smith,25.0,Sales-New York,Inactive,61337.69,alice.smith@example.com,-5423401635,Average,True
David,Smith,35.0,Sales-California,Active,63741.13,david.smith@example.com,-1128497184,Poor,True
Eva,Smith,30.0,DevOps-California,Pending,56539.99,eva.smith@example.com,-9484910255,Excellent,True
Charlie,Williams,30.0,DevOps-Illinois,Pending,73633.37,charlie.williams@example.com,-2588967923,Good,True
Alice,Miller,25.0,Cloud Tech-Texas,Pending,90373.99,alice.miller@example.com,-822269404,Good,False
Grace,Smith,32.48454882571075,DevOps-Texas,Inactive,93901.48,grace.smith@example.com,-3967275783,Good,False
Eva,Brown,40.0,Admin-Nevada,Inactive,81748.09,eva.brown@example.com,-4683414650,Average,True
Charlie,Jones,40.0,Finance-Florida,Inactive,73813.48,charlie.jones@example.com,-1131290147,Average,False
Frank,Smith,35.0,Finance-New York,Inactive,89315.59,frank.smith@example.com,-7068277880,Average,False
Heidi,Williams,25.0,HR-Florida,Active,56776.82,heidi.williams@example.com,-6093068537,Poor,False
Grace,Davis,32.48454882571075,Finance-New York,Active,72920.51,grace.davis@example.com,-9097283214,Excellent,True
Frank,Miller,30.0,Admin-Florida,Pending,84913.18,frank.miller@example.com,-2850676250,Average,True
Alice,Garcia,25.0,Finance-Illinois,Inactive,65060.11,alice.garcia@example.com,-5381447442,Excellent,True
Alice,Williams,35.0,Finance-Illinois,Pending,82941.08,alice.williams@example.com,-963480796,Poor,False
Bob,Smith,40.0,Admin-California,Pending,103469.97,bob.smith@example.com,-509754509,Good,True
Grace,Miller,25.0,Sales-Illinois,Active,88725.6,grace.miller@example.com,-5265016730,Average,True
Heidi,Jones,32.48454882571075,HR-Illinois,Pending,58316.77,heidi.jones@example.com,-8826170242,Excellent,True
Grace,Smith,35.0,HR-Illinois,Inactive,60098.72,grace.smith@example.com,-7654562840,Excellent,True
Grace,Williams,32.48454882571075,Cloud Tech-Texas,Active,99951.43,grace.williams@example.com,-7722560530,Average,True
